Convection,Radiation,Temperature
-0.0,-0.0,20.0
0.04408163265306143,0.0230976357067604,23.6734693877551
0.08816326530612217,0.047068943520904676,27.346938775510203
0.1322448979591836,0.07193568172882625,31.02040816326531
0.17632653061224504,0.09771987624011547,34.69387755102041
0.22040816326530646,0.12444382058756136,38.36734693877551
0.2644897959183672,0.15213007592715053,42.04081632653062
0.3085714285714286,0.18080147103806946,45.714285714285715
0.3526530612244901,0.21048110232270112,49.38775510204081
0.3967346938775508,0.24119233380662705,53.06122448979592
0.44081632653061226,0.27295879713862803,56.734693877551024
0.4848979591836737,0.3058043915906819,60.40816326530612
0.5289795918367344,0.33975328405796446,64.08163265306123
0.5730612244897958,0.3748299090588515,67.75510204081633
0.6171428571428572,0.4110589687349154,71.42857142857143
0.661224489795918,0.4484654328509264,75.10204081632654
0.7053061224489794,0.487074538794855,78.77551020408163
0.7493877551020408,0.5269117915778683,82.44897959183675
0.7934693877551016,0.5680029638343309,86.12244897959184
0.837551020408163,0.6103740958218081,89.79591836734694
0.8816326530612245,0.6540514954210618,93.46938775510205
0.9257142857142852,0.6990617381360508,97.14285714285714
0.9697959183673467,0.7454316670939355,100.81632653061224
1.013877551020408,0.7931883930450716,104.48979591836735
1.0579591836734694,0.8423592943630144,108.16326530612245
1.102040816326531,0.8929720170445166,111.83673469387756
1.1461224489795916,0.9450544747095289,115.51020408163265
1.1902040816326531,0.9986348486012021,119.18367346938776
1.2342857142857144,1.0537415875858838,122.85714285714286
1.2783673469387753,1.1104034081531182,126.53061224489797
1.3224489795918366,1.168649294415652,130.20408163265307
1.3665306122448981,1.2285084981094259,133.87755102040816
1.4106122448979588,1.2900105385935803,137.55102040816325
1.4546938775510203,1.353185202850455,141.22448979591837
1.4987755102040816,1.4180625454855866,144.8979591836735
1.5428571428571425,1.4846728887277088,148.57142857142858
1.5869387755102038,1.5530468224287575,152.24489795918367
1.6310204081632653,1.6232152040638628,155.91836734693877
1.675102040816326,1.6952091587313536,159.59183673469389
1.7191836734693875,1.7690600791527602,163.26530612244898
1.763265306122449,1.8447996256728074,166.9387755102041
1.8073469387755097,1.9224597262594187,170.6122448979592
1.8514285714285712,2.002072576503719,174.28571428571428
1.8955102040816325,2.0836706396200277,177.9591836734694
1.9395918367346934,2.1672866464458624,181.6326530612245
1.9836734693877554,2.252953595441945,185.3061224489796
2.027755102040816,2.3407047526921847,188.9795918367347
2.071836734693877,2.4305736519036985,192.6530612244898
2.115918367346939,2.5225940944068004,196.3265306122449
2.1599999999999997,2.6168001491549955,200.0
